SS2_Donor01_CD4T_CD19-CAR_rep1	SS2_Donor01_CD4T_CD19-CAR_rep2	SS2_Donor01_CD8T_CD19-CAR_rep1	SS2_Donor01_CD8T_CD19-CAR_rep2	SS2_Donor01_CD4T_CD19-CAR-CD25_rep1	SS2_Donor01_CD4T_CD19-CAR-CD25_rep2	SS2_Donor01_CD8T_CD19-CAR-CD25_rep1	SS2_Donor01_CD8T_CD19-CAR-CD25_rep2	SS2_Donor02_CD4T_CD19-CAR_rep1	SS2_Donor02_CD4T_CD19-CAR_rep2	SS2_Donor02_CD8T_CD19-CAR_rep1	SS2_Donor02_CD8T_CD19-CAR_rep2	SS2_Donor02_CD4T_CD19-CAR-CD25_rep1	SS2_Donor02_CD4T_CD19-CAR-CD25_rep2	SS2_Donor02_CD8T_CD19-CAR-CD25_rep1	SS2_Donor02_CD8T_CD19-CAR-CD25_rep2	SS2_Donor03_CD4T_CD19-CAR_rep1	SS2_Donor03_CD4T_CD19-CAR_rep2	SS2_Donor03_CD8T_CD19-CAR_rep1	SS2_Donor03_CD8T_CD19-CAR_rep2	SS2_Donor03_CD4T_CD19-CAR-CD25_rep1	SS2_Donor03_CD4T_CD19-CAR-CD25_rep2	SS2_Donor03_CD8T_CD19-CAR-CD25_rep1	SS2_Donor03_CD8T_CD19-CAR-CD25_rep2
HTR1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTR1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTR1D	1.93424	3.03878	0	0	0	4.56549	1.16183	0.979561	4.11099	2.18689	3.07581	0.905796	1.03473	4.78443	3.18941	5.40612	3.30956	4.3604	4.5336	1.24989	5.7947	2.03484	0	6.4215
HTR1E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTR1F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTR2A	2.42495	0.516254	1.48728	0	0	1.68917	0.661596	0.455137	2.10021	2.3232	1.17676	1.01005	1.13098	1.62343	0.550273	1.62226	0.603342	0	1.89544	0.645877	2.07998	0	1.20895	0.618018
HTR2B	2.14174	0	1.63677	0	0	2.48228	0	0	4.62161	1.28103	2.54876	1.11443	3.7394	0	0	1.19058	0	0	0	0	0	0	0	1.35953
HTR2C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTR3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTR3B	1.32366	4.62263	7.86219	4.14402	3.71791	9.55024	2.32247	7.43143	7.78726	9.40359	4.09416	11.2159	7.15578	12.6171	3.75018	2.86812	9.73762	19.1813	3.76734	3.49574	4.91016	8.4739	14.8039	10.8252
HTR3C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTR3D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTR3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTR4	0	0	0	0	0	0	0	0	1.129484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTR5A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTR6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTR7	0	1.52289	1.095218	0	0	0	2.923949	0	1.030982	0.85612	0	2.233681	1.666692	0	0	1.592987	3.480916	1.757392	0.698429	0.950005	0.766945	0	0	0
HTR7P1	2.16613	2.87762	0.945823	1.5487	0	3.18891	0	2.38528	4.08422	0.64819	2.13394	4.32912	1.45075	2.74393	1.34436	1.24271	2.11759	5.04471	1.67815	0	0	5.10041	2.20448	1.35705
HTRA1	0	0	1.73104	0	0	0	0	1.04336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTRA2	19.41348	21.0927	20.29333	16.715	26.0828	42.1716	19.1295	12.0282	23.53441	51.88397	28.989	28.96039	21.6596	4.20184	28.11805	28.1703	2.56807	19.0217	11.95247	11.0541	36.2871	20.8589	29.8828	12.95879
HTRA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTRA4	21.6982	7.76281	10.44	13.4504	6.77844	12.0425	6.37379	11.0417	5.25298	13.3014	6.87643	12.0326	16.0371	8.90758	11.2383	10.6422	11.704	15.0838	6.6668	13.4487	14.1817	23.9381	12.6076	10.2747
HTT	14.0064	12.9767	4.80893	10.5792	19.9566	12.6557	6.52763	7.76718	7.8639	15.9935	9.81704	13.9033	9.80802	16.5613	14.2296	14.5373	5.62811	5.68236	9.50554	10.7906	17.8393	23.1841	13.2306	15.5703
HTT-AS1	7.92371	0	0	0	0	9.10755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HULC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HUNK	3.36636	1.2022	1.55082	1.56878	2.898	1.60549	0.483827	2.61121	3.87995	2.17681	1.46992	3.46071	3.15963	2.6408	3.8396	1.94304	1.8318	1.68284	1.97142	1.28554	2.17167	2.80197	2.91932	3.20711
HUS1	32.16921	25.84734	8.55843	16.20137	41.4833	30.33331	12.198	12.56082	22.25007	44.8013	26.76027	16.97544	36.2402	19.91174	24.37806	19.63100968	88.38535	15.7328	15.11803	12.32049	19.707	28.21555	21.65695	23.8766
HUS1B	2.61078	0	0	3.33663	0	0	0	0	0	0	0	5.42525	0	0	0	0	0	0	0	0	0	0	0	0
HUWE1	31.2437	22.5391	10.3832	10.6084	12.8185	21.1215	11.6963	8.19142	21.9418	22.8594	11.6338	13.6129	20.8625	29.0204	14.8496	17.2789	43.7947	51.062	8.51838	10.6411	31.8792	25.0714	25.4008	24.553
HVCN1	4.35398	9.0892018	19.923600175543	11.1537000730757	23.2475	18.0073	9.858850100925	9.3451400371953	2.08328	13.8796000233103	32.138435	25.0786	8.43714	15.78363	34.4316000470221	34.5239	0	0	7.0755000317205	15.300500539803	24.4155	23.2813121	21.1624	10.7463
HYAL1	15.929	4.35878	3.02827	0	0	2.40666	1.39248	4.71185	4.41562	2.44834	3.65175	6.00329	3.57253	2.27828	4.5048	2.27385	3.72925	19.46364	4.99114	5.41425	10.6879	0	3.73154	5.21118
HYAL2	0	1.28298	1.83985	1.54366	0	0	1.63827	0	3.46318	0	1.43327	1.25343	0	0	3.34116	2.67679	0	0	2.35031	0	0	2.32312	0	6.11207
HYAL3	44.75099	12.0877	4.953246	9.71	26.2513	15.54636	21.2006	8.903	26.479516	29.7087	16.8718	34.5789000410535	26.59503	7.89403	6.41063	15.7432	38.116	0	12.8963	13.089	15.2201	5.46394	32.7484	23.44111
HYAL4	5.642	3.48069	3.44804	1.35077	0	2.3917	1.63098	1.85811	1.45409	5.04384	6.0605	1.02712	4.24061	2.29285	1.79679	0	9.21968	39.3247	0	0	3.26609	2.97623	2.48315	1.53299
HYALP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.70311	0	0	0	0	0	0
HYDIN	0.281459	0	0	0	0	0	0	0.260159	0.203545	0	0	0	0	0.157164	0	0	0	0	0.137602	1.178903225	0.603371	0	0.171208	0
HYDIN2	8.38507	6.31208	4.12564	4.40032	7.43019	7.7048	4.23391	3.74819	5.47687	6.52525	5.20826	4.93611	4.24974	8.08493	6.13538	4.34364	8.88215	11.7253	2.9885	3.10042	5.73888	5.5399	6.6861	6.3619
HYI	4.13257	8.00239	0	2.643510449817	5.600530860546	4.4327	0	5.303950607997	0	0	0	0	2.398100128398	0	4.174500199307	3.01442127622	60.8115	0	0	2.0935	0	7.83227	0	0
HYLS1	16.87099	11.7487	3.91503	12.49894	18.3704	9.65608	4.64964	3.79977	16.975875	35.87406	8.69291	2.89005	0	27.4945	10.3864	7.25871	1.82663	23.1186	14.8051	5.334	18.4032	14.4379	12.0874	8.53993
HYMAI	0.959646	1.50239	0	1.1885	1.28296	2.18678	0.656555	0.464884	0.699633	1.70538	0	0.976753	0.55917	0.549385	1.58692	1.0698	0.631494	0	0.457962	1.25414	0	0.465133	0	1.25216
HYOU1	25.00519	26.61768	14.8648	17.0253	19.6094	30.21279	14.6173	13.6603	18.6129	33.6101	38.8963	24.4433	14.2792	19.94442	20.8417	18.7742	14.9162	15.0611	11.9657	19.7028	12.5845	26.6831	17.3773	27.3075
HYPK	38.7709	64.3257	17.4476	29.3496	57.0524	62.1763	27.5732	36.2514	41.0417	76.6128	52.2506	65.0871	48.82	54.0427	71.446	51.0607	111.021	70.0822	27.9247	27.5668	43.0839	80.98943	55.712	50.98687
IAH1	164.523	227.474	124.404	124.497	196.642	277.379	90.4474	125.366	138.672	119.825	213.341	208.833	243.284	165.469	249.489	197.942	77.0363	7.41193	130.252	134.191	317.556	81.3613	151.551	156.624
IAPP	2.34517	7.59234	2.58752	2.58891	15.3577	9.96201	5.47576	2.59968	5.90527	1.97004	4.18245	4.3186	6.48164	7.41884	2.41962	8.23281	4.1365	13.1	1.5505	3.92771	5.54044	6.64015	0.959032	2.32737
IARS	70.4354	40.6868	24.7947	22.76204	59.360759918	42.6439	21.3507	25.32201	59.48265	68.858	50.98892	37.4859	39.8733	20.37318	54.7005	42.4587	59.44103	16.0806	29.5642	20.1416	50.6878	34.35118	35.79632	43.5744
IARS2	39.08	45.7652	23.9471	27.5732	42.8567	62.7325	13.3183	24.0362	25.3605	41.3276	56.6159	40.6874	65.2803	34.1422	64.2459	26.8484	7.13481	32.0192	26.7188	18.1824	39.1129	27.7266	31.681	27.3607
IBA57	13.7295	15.6348	9.88731	8.42754	13.2438	9.87296	5.10679	3.29252	9.55494	11.38	10.7224	10.0947	9.01625	19.9837	11.0338	15.5699	7.40151	5.76834	6.00522	7.97078	5.35379	10.2872	9.9747	11.9737
IBSP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IBTK	16.458	12.9297	15.6297	10.5617	20.4551	17.2921	13.369	12.3034	24.3354	24.8755	14.9363	14.2829	10.0545	15.3066	16.902	11.802	21.9651	14.4638	12.6371	20.8953	11.763	17.8461	10.4855	11.9913
ICA1	0	2.25327	1.61711	0	8.67263	6.13096	0	0.974563	3.04408	6.32795	1.25901	2.20196	1.23146	4.71464	0	2.35255	0	0	3.09718	0	0	0	3.85792	2.68643
ICA1L	6.0022	8.11556	2.38351	1.62364	4.5674	4.69082	4.35839	2.49588	5.91899	2.19486	3.7574	1.06481	3.87352	6.69439	4.81464	6.75976	3.27585	2.64682	4.58977	3.78633	9.36008	3.67031	2.18653	4.50557
ICAM1	12.8978	20.5549	3.48727	3.89134	22.621	17.0685	7.6442	4.4454	14.5129	53.4665	11.3744	17.633	17.3073	15.728	10.2747	14.6041	1.82257	1.80695	6.0042	8.45957	14.2334	13.7248	9.76448	14.1002
ICAM2	110.787	160.9447	45.556	44.2717	62.4371	71.6604	20.2635	16.9313	191.769	113.8073	46.6146	32.77786	136.5166	162.268	23.9283	48.0211	33.5846	95.7568	42.6803	30.136	106.8901	57.4848	56.0474	76.427
ICAM3	343.696	276.776	228.665	154.982	397.19	238.797	175.628	137.881	213.222	262.988	224.045	230.27	260.603	293.838	192.653	277.769	203.473	330.126	162.223	161.374	377.633	364.184	223.866	336.207
ICAM4	9.48141	15.2377	6.17883	18.1967	0	9.49411	0	0	11.627	38.8197	9.65886	1.19576	9.4418	9.38503	4.8161	3.72922	95.7798	26.7911	4.24439	2.66074	10.9065	8.93204	7.40261	2.56382
ICAM5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.50408	0	0
ICK	5.62939	4.4663100294956	1.1874500500543	1.1401500390812	7.67991	6.88862	2.639610130431	2.91883	5.0567900705106	2.9406900291642	3.68598	1.5636700166093	5.76373	8.553440211064	2.6887700209538	2.163960186935	1.6077600206477	2.2074400858301	1.1180000270009	1.97871	2.4649	10.0012	5.4887100925249	8.7153900604584
ICMT	28.7513	38.6142	14.5483	17.2903	43.3032	38.8168	20.931	20.4541	35.9617	32.1662	43.1318	39.8334	28.6245	32.9001	53.0804	27.1539	13.3024	7.53953	18.2976	15.4851	37.3963	32.3526	36.453	39.3684
ICOS	59.7398	40.8251	12.2774	11.4329	21.9578	43.4258	12.1424	11.5063	47.5091	46.9472	11.6748	13.9212	43.6126	48.6972	13.1277	13.8906	36.8579	41.5975	13.9267	13.0038	40.1657	13.7823	10.84	15.8658
ICOSLG	0	0	0	0	3.93336	2.49811	0	0	2.06927	0.859154	0.854547	0	0.836294	0.800348	0	0	0.873311	10.582	1.40183	0	0	0	0	0
ICT1	91.8041	91.1735	57.4123	52.5392	68.0415	54.7041	46.9656	57.8676	85.4928	94.2988	71.3732	88.7556	32.96	94.7069	81.6232	83.6138	68.5721	61.5725	39.9755	69.6264	112.263	57.3242	76.8047	39.6628
ID1	0	0	0	0	0	0	0	0	0	0	0	11.2937	0	0	0	0	0	0	0	0	0	0	0	0
ID2	379.609	317.266	322.858	321.515	404.159	432.51	386.136	393.099	106.592	64.461	378.264	365.7	285.245	349.636	413.383	408.058	313.098	505.055	302.736	344.233	251.682	260.946	388.768	376.103
ID3	72.8701	37.7228	31.6494	34.626	50.7818	21.6542	16.9267	17.1964	139.954	151.645	94.0213	103.892	118.395	141.119	152.457	117.472	52.8722	0	32.4368	24.5255	49.177	65.9043	25.2843	55.1539
ID4	0	0	0	0.761564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IDE	10.7394	10.2061	3.53056	3.44599	7.37686	6.68131	3.47869	2.83365	6.09368	12.404	7.76682	4.79326	2.68409	8.98952	9.57832	2.99505	0	30.2032	5.62247	2.55678	7.10967	8.39632	7.93074	3.4235
IDH1	20.4473	23.9521	12.5044	23.5906	13.9725	22.5167	6.95748	16.0127	10.2982	29.355	21.9013	28.7281	38.0858	14.8088	15.0436	22.7385	32.2988	52.6873	25.9418	10.8285	6.57996	15.7906	39.769	31.1604
IDH1-AS1	7.19245	0	0	0	0	11.5616	0	0.779404	0	0	0	13.1785	3.11801	3.99641	0.943763	9.59558	0	0	7.05776	0	46.534	0	0	14.0746
IDH2	487.937	382.273	341.9	287.073	386.465	436.853	246.698	326.227	311.574	345.925	539.897	528.258	288.632	239.978	538.493	547.862	123.87	194.595	308.434	344.055	441.383	357.888	468.82	442.014
IDH3A	33.5814	17.8787	2.70419	19.2637	16.9277	25.6197	19.2559	13.8483	26.7264	25.3806	35.7658	28.5152	47.3431	27.5804	16.0143	21.6351	2.14894	121.519	11.2152	16.4048	27.487	28.1749	41.9009	14.6025
IDH3B	116.5194	201.435	147.9272	78.4724	157.94	151.167	94.1522	90.95255	195.3933	161.0843	140	194.578	186.23285	179.1968	163.411	180.619	60.5863	143.6266	91.373	94.07018	213.5582	123.847	170.467	163.96348
IDH3G	155.83346	120.451	66.5916	82.089	111.6907	86.31404	80.1537	76.8644	72.5621	130.496	115.3239	133.8594	143.113	142.6481	172.2523	152.17023	169.658	161.026	115.64783	89.66226	127.8495	130.5445	147.589	97.5694
IDI1	83.1482	59.7129	49.7906	48.9638	58.3062	46.875	36.6879	45.4708	50.0941	32.2563	50.8084	67.6057	56.2299	45.267	45.7646	62.9753	47.3223	49.6116	41.661	28.2337	32.5453	74.796	61.1887	72.7273
IDI2	0	0	2.84405	0	0	0	5.0689	0	0	0	4.44297	0	0	0	0	0	0	0	1.8205	2.45158	0	0	0	0
IDI2-AS1	0	6.64864	0	0	7.98737	0	0	2.87646	4.22379	0	3.52318	6.7235	10.3075	32.3589	0	14.9623	22.6068	0	0	3.84834	0	0	4.31282	3.72354
IDNK	32.4523	33.18229	35.1628	5.8972	25.9505	37.0152	25.30532	3.93792	28.195	31.8123	33.2831	24.22664	19.7925	39.6209	38.5973	26.60792	5.97563	15.6716	16.90654	16.95591	32.10440046091	41.68175	8.17665	33.6132
IDO1	8.81311	0	7.62131	10.6974	0	6.22488	2.47057	6.8908	5.36457	6.47333	14.1279	5.17148	3.43759	4.16362	6.64755	17.5114	3.27891	3.62727	10.0834	4.54513	8.78985	10.2239	3.43395	1.98356
IDO2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IDS	86.2414	106.2917	30.553800992766	59.5338804	107.046817914	105.10339	53.6238	54.408366064	90.086900997048	70.8383511	115.391361966	71.1885	92.8022	57.8314174	101.2609	112.3512	91.0778992064	127.776709	55.126500106593	44.8183228945	95.262	88.05580667869	101.0426	97.633700561737
IDUA	11.9331	0	3.34844	4.21248	2.99266	3.80884	1.4906	2.01809	0	6.55229	0	1.14005	1.27506	12.2041	1.23959	1.21784	0	34.9385	0	0	0	5.2853	0	4.1718
IER2	488.883	303.626	205.146	188.711	450.23	395.827	240.347	288.535	396.315	445.229	400.887	324.84	375.592	448.723	367.762	421.511	30.0384	115.559	244.8	238.224	413.264	440.814	393.746	280.978
IER3	2.08003	4.43375	3.16197	2.66101	0	0	0	0	0	0	0	0	2.41395	0	4.68658	0	0	0	0	0	0	0	0	0
IER3IP1	58.2038	40.7514	58.274	42.5833	63.3082	63.495	22.5729	45.8552	85.83	107.307	57.3445	39.7794	17.3907	49.9453	65.6922	58.9932	46.3403	69.185	55.1046	48.1018	48.1892	46.3753	72.7311	69.4098
IER5	0	11.9037	3.10734	3.90809	2.77777	1.17796	8.29882	8.42635	5.8494	8.5103	7.25645	8.46074	3.54907	10.1906	10.3523	9.04081	18.522	0	2.97526	2.69097	4.36015	1.96199	7.41174	5.16227
IER5L	0	0.924187	0	0	0	0	0	0	0	1.03869	0	0	0	0	0	0.965944	0	0	0	0	0	0	0	0
IFFO1	48.0475	59.5074	33.32049527	29.0820487931	25.2547	39.80497	20.5632	22.503517678	21.34667	32.353	19.9681157467	37.6747	13.6765	34.80408	32.3032	32.9789	68.535	0	15.3067045	17.8019	20.6886	29.78604	39.03421	11.082810847
IFFO2	0	1.23797	2.97385	3.48318	6.3911	1.35068	1.05818	1.43211	0.559941	4.64366	1.38541	1.62157	0.909824	0	1.76029	2.16239	1.41731	0	1.89438	0.521311	2.49385	0.75136	2.82931	0.988682
IFI16	127.24666	198.6573	149.9816	171.991	228.2586	189.4478	149.8889	183.88394	126.314	167.71376	204.694	176.3045	164.22642	165.801	212.305	201.901	444.32526	217.4748	190.5385	159.6444	160.45	166.155	159.9302	158.48481
IFI27	4.7520847	0	0	0	0	0	0	8.63699	0	11.29321823	5.62444119	0	0	0	0	0	0	0	0	0	0	0	0	0
IFI27L1	45.454	52.3334	20.4556	40.5092	36.2418	31.2978	5.57295	0	60.7413	37.8177	64.5709	96.2266	5.23594	45.84710260557	65.8059	34.7755	81.5258	10.9785	22.0084	28.9784	24.4517	42.9626	44.0382	36.1538
IFI27L2	226.082	233.637	195.992	207.54	121.508	337.575	217.28	168.627	216.365	230.87	229.906	273.403	178.245	204.882	231.638	184.781	27.6224	18.6175	284.845	163.906	311.166	159.321	254.282	361.224
IFI30	67.3982	69.0973	39.2978	19.8783	34.9826	35.8952	35.0498	21.3707	29.5734	24.7385	36.9415	67.3351	48.0621	31.6422	5.82739	31.4685	18.7653	139.009	35.2994	33.7436	91.883	4.95797	72.3718	48.893
IFI35	72.1158	87.8392	46.9881	50.0854	39.0949	92.8693	55.8433	32.1485	185.679	159.922	112.64	190.643	88.4807	114.48	102.143	166.423	94.6924	100.677	84.2692	67.4368	88.4855	13.8368	62.5576	72.7872
IFI44	51.2291	62.151	13.0254	12.7596	34.8936	51.0762	13.5349	14.4004	20.43	23.8169	5.07795	23.6859	57.9133	42.7658	33.7645	30.0085	0	184.765	12.4883	11.2551	9.16177	16.4446	19.0211	19.8285
IFI44L	13.0912	13.5242	4.13489	3.9535	8.46321	19.2271	3.15279	4.97804	1.66833	4.15066	5.50366	2.00491	12.5742	13.7513	4.37059	5.1542	27.683	21.7924	4.13908	1.53998	0.825581	4.47732	0.468318	4.90959
IFI6	225.7004	348.6167	182.71220354532	153.6572	380.262	368.3876	190.3186	212.713	238.9681	237.204	331.4734	433.6034	343.429	335.8018	348.601	367.398	775.131	351.3419	253.2216	230.945	246.709	291.9356	333.92	228.054
IFIH1	10.9072	10.9287	5.89762	12.3462	21.1098	28.2925	16.6185	6.51142	11.1035	16.8988	12.2237	16.0319	4.48651	26.4769	18.1864	12.152	26.5521	18.9252	4.38667	13.6477	19.952	14.8984	12.4831	9.80125
IFIT1	12.60304	5.4999488	5.60547	4.78167	7.16804	7.97607	5.69972	5.78579	20.354	15.6378	5.5989	6.52813	16.443	13.9868	11.3926	10.4817000199179	10.3109	34.0084	7.06405	5.5629	8.40123	5.62404	5.27019	4.05778
IFIT1B	0	1.30673	0	0	0	0	3.33682	0	0	0	0	1.51733	0	0	0	1.36299	0	0	0	0	0	0	0	0
IFIT2	7.28163	2.81895	4.05611	7.64257	5.44408	12.2901	5.41407	3.66415	48.6821	43.5864	2.36463	0	8.48586	5.16789	2.25144	5.89953	0	26.0323	5.81879	1.75972	0	3.20198	11.2693	0.84259
IFIT3	12.8151	22.6632	9.45654	10.4073	3.67453	10.4135	10.8767	7.54806	41.7063	40.193	5.49356	19.33764	9.85016	20.2679	8.03558	6.88484	6.63327	5.32336	6.15073	5.55511	17.9208	11.1151	7.85386	9.92857
IFIT5	11.3842	17.5724	6.97904	9.49412	20.3007	14.5348	9.31453	6.30362	11.4974	17.0388	6.77851	16.0022	27.8681	12.0645	18.7221	20.3007	9.70286	0	5.00445	9.08809	0	6.06067	19.382	5.79962
IFITM1	1638.55	1446.26	1496.48	1358.95	1602.49	1423.03	1507.35	1386.09	1897.87	1701.64	1908.94	2100.81	1627.95	1885.53	1706.8	1963.06	1161.83	896.648	1903.33	1819.2	1023.72	1086.32	1590.18	1601.8
IFITM10	0.621741	0	0	0	0	0.721536	0	0	2.69027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFITM2	1434.77	1322.05	893.685	828.109	1457.28	1350.61	826.732	833.53	1009.29	981.76	1283.56	1180.94	1268.45	1020.79	1030.9	1189.93	1124.01	824.729	1005.13	998.733	1304.9	1413.6	1361.91	1420.37
IFITM3	4.77447	10.3596	0	0	27.1634	5.63445	6.42133	4.50772	21.5946	18.217	47.2314	51.3684	42.0816	31.9091	51.2934	45.9552	0	0	4.77576	13.1812	0	4.80178	0	6.21552
IFITM4P	0	0	0	0	0	0	17.9437	0	0	0	0	0	0	14.7288	0	0	0	0	0	0	0	0	0	0
IFITM5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFLTD1	3.12322	6.64029	2.99554	1.52009	2.7457	1.32002	6.25672	0	0	4.39754	3.68485	3.21072	4.11641	6.03716	2.32842	6.82982	8.75356	7.69249	1.0917	4.18669	5.81667	5.14091	4.23408	5.50916
IFNA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA22P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNAR1	10.1155	13.1927	3.47194	10.2661	10.8375	16.7347	4.66966	7.89553	19.3266	16.0216	12.6887	12.962	15.0127	14.9939	10.2569	9.30517	22.6286	1.86132	8.84151	3.0376	12.381	4.4754	17.6926	14.7094
IFNAR2	75.2781	81.97758	36.9185	39.7921	70.6686	74.6323	30.8905	21.9457	51.13311	86.2498	77.2382	92.7375	147.3544	60.1049	76.244	74.1	42.76156	98.0314	31.2672	31.18654	62.0421	28.2311	54.3406	61.0654
IFNB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNE	1.70174	0	0	0	0	0	0	0	2.43921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNG	34.2567	11.4101	22.7756	27.3876	11.5994	14.843	20.3028	11.7868	27.5504	2.5562	25.442	24.4821	9.93727	4.75733	12.0569	9.47207	51.7687	0	8.33812	5.6011	20.6894	12.3181	5.19997	32.3982
IFNGR1	50.9817	37.4037	19.0415	13.0681	43.3149	28.8822	7.70628	7.3035	34.2138	14.9063	17.5255	4.71573	36.9169	49.2167	16.6622	35.2575	49.5328	0	12.1594	7.49068	24.3074	26.2299	34.426	24.4417
IFNGR2	4.30664	5.73299	0	1.38005	2.94161	1.24783	1.46506	1.05368	3.09764	2.5759	2.56252	0	0	3.5984	8.09838	0	1.30791	0	1.05063	2.8492	2.30991	3.11695	1.30872	1.63732
IFNK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNL1	3.27455	3.49325	0	0	8.79012	0	0	0	4.65151	0	0	0	0	7.25459	0	0	0	0	0	0	0	12.474	0	0
IFNL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNLR1	10.6362000309052	21.3378	3.79086801	5.085524561	7.231272077	8.38191	3.029759768	2.489622612	4.174467406	2.6683132508	13.1028	8.478317464	8.038301147	16.5721093	8.554232459	20.23777003	4.544454141	22.63449854	6.552776052	3.622772424	21.07974083	7.32533	29.521200127119	10.97571656
IFNW1	0	0	2.51472	0	0	0	0	0	2.36637	0	0	0	0	3.67188	0	0	0	0	0	0	0	0	0	0
IFRD1	29.10962	25.32277	9.69271	22.45752	29.8889366124	22.42043	6.0762900219684	13.12762	12.8273	9.95813	15.93757	16.4084	22.46943	15.78604	20.9093	17.89009	87.2811	74.9804	15.5016	13.0796	12.1806	10.9934	28.9877	10.1869
IFRD2	34.1823	37.618	22.6316	24.8251	34.2262	42.2502	24.4736	20.9861	22.9389	58.6029	84.0608	48.6126	21.2157	21.5759	49.8086	63.3181	20.7562	0	33.3513	30.1321	45.2263	92.3266	19.3888	46.2694
IFT122	16.89856	7.50662	10.5504	5.8715	14.1238	2.7851	11.9484	8.85749	4.51443	16.5209	10.7161	4.1693	16.934617	2.09469	7.78542	5.1003	27.754	1.53888	7.54259	6.08861	16.87107	1.81722	16.20748	0.90723
